seq,status,pose_valid,map_updated,continuity_only,img,known,map,map_projectable,projectable,required_projectable,inliers,kernel,mean_error_px,median_error_px,inlier_projectable_ratio,inlier_known_ratio,new_candidates,tri_success,tri_attempts,tri_accepted,new_points
0,init,1,1,0,127,0,115,115,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0
1,init,1,1,0,124,0,115,115,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,115
2,ok,1,1,0,123,108,124,108,108,54,108,10.000000000,0.006260097,0.005358737,1.000000000,1.000000000,9,9,9,9,9
3,ok,1,1,0,123,112,130,112,112,56,112,10.000000000,0.013030055,0.010294681,1.000000000,1.000000000,6,6,6,6,6
4,ok,1,1,0,109,99,135,99,99,50,99,10.000000000,0.018553376,0.014847994,1.000000000,1.000000000,5,5,5,5,5
5,ok,1,1,0,104,91,140,91,91,46,91,10.000000000,0.024001399,0.019281620,1.000000000,1.000000000,5,5,5,5,5
6,ok,1,1,0,101,89,147,89,89,45,89,10.000000000,0.033274475,0.024811372,1.000000000,1.000000000,7,7,7,7,7
7,ok,1,1,0,103,92,152,92,92,46,92,10.000000000,0.047642775,0.034724385,1.000000000,1.000000000,5,5,5,5,5
8,ok,1,1,0,104,85,157,85,85,43,85,10.000000000,0.061208747,0.043338671,1.000000000,1.000000000,5,5,5,5,5
9,ok,1,1,0,102,77,171,77,77,39,77,10.000000000,0.062220145,0.048488706,1.000000000,1.000000000,14,14,14,14,14
10,ok,1,1,0,102,81,182,81,81,41,81,10.000000000,0.083053604,0.059575528,1.000000000,1.000000000,11,11,11,11,11
11,ok,1,1,0,108,89,191,89,89,45,89,10.000000000,0.092069596,0.070648514,1.000000000,1.000000000,9,9,9,9,9
12,ok,1,1,0,111,96,201,96,96,48,96,10.000000000,0.125503197,0.086778432,1.000000000,1.000000000,10,10,10,10,10
13,ok,1,1,0,106,95,206,96,95,48,95,10.000000000,0.124560937,0.086899877,1.000000000,1.000000000,5,5,5,5,5
14,ok,1,1,0,106,92,212,92,92,46,92,10.000000000,0.183857024,0.122836858,1.000000000,1.000000000,6,6,6,6,6
15,ok,1,1,0,105,88,220,87,87,44,87,10.000000000,0.372938216,0.313002199,1.000000000,0.988636374,8,8,8,8,8
16,ok,1,1,0,106,88,227,87,87,44,87,10.000000000,0.181376651,0.162304133,1.000000000,0.988636374,7,7,7,7,7
17,ok,1,1,0,110,84,234,87,84,42,84,10.000000000,0.254452497,0.214019895,1.000000000,1.000000000,7,7,7,7,7
18,ok,1,1,0,95,79,242,93,79,40,79,10.000000000,0.377011359,0.258267701,1.000000000,1.000000000,9,9,9,8,8
19,ok,1,1,0,88,73,248,90,72,37,71,10.000000000,0.417513847,0.208923131,0.986111104,0.972602725,6,6,6,6,6
20,ok,1,1,0,80,67,253,92,66,34,62,10.000000000,0.689110398,0.149867624,0.939393938,0.925373137,5,5,5,5,5
21,ok,1,1,0,83,62,258,90,62,31,61,10.000000000,0.371539056,0.084442407,0.983870983,0.983870983,5,5,5,5,5
22,ok,1,1,0,82,57,270,87,57,29,57,10.000000000,0.202308640,0.100356087,1.000000000,1.000000000,12,12,12,12,12
23,ok,1,1,0,90,60,279,90,60,30,60,10.000000000,0.124133669,0.100259706,1.000000000,1.000000000,9,9,9,9,9
24,ok,1,1,0,88,65,300,95,65,33,65,10.000000000,0.131080791,0.101760477,1.000000000,1.000000000,21,21,21,21,21
25,ok,1,1,0,89,84,302,109,84,42,84,10.000000000,0.168795273,0.100328006,1.000000000,1.000000000,2,2,2,2,2
26,ok,1,1,0,88,84,305,105,83,42,83,10.000000000,0.234506950,0.131188363,1.000000000,0.988095224,3,3,3,3,3
27,ok,1,1,0,85,80,309,100,80,40,80,10.000000000,0.311675727,0.149789870,1.000000000,1.000000000,4,4,4,4,4
28,ok,1,1,0,88,83,311,100,83,42,83,10.000000000,0.426523924,0.187538743,1.000000000,1.000000000,2,2,2,2,2
29,ok,1,1,0,83,81,313,95,81,41,81,10.000000000,0.524915516,0.219502538,1.000000000,1.000000000,2,2,2,2,2
30,ok,1,1,0,83,79,315,90,79,40,79,10.000000000,0.656289518,0.288528919,1.000000000,1.000000000,2,2,2,2,2
31,ok,1,1,0,76,72,317,82,72,36,70,10.000000000,0.807620764,0.346907318,0.972222209,0.972222209,2,2,2,2,2
32,ok,1,1,0,81,71,322,80,71,36,65,10.000000000,0.932683289,0.279364705,0.915492952,0.915492952,5,5,5,5,5
