landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z,aligned_x,aligned_y,aligned_z,gt_first_x,gt_first_y,gt_first_z,error,error_rigid_aligned
0,10.475982666,-5.613620758,32.779846191,2.089633703,-1.119743347,6.538563251,6.799590111,-2.093450785,1.124769688,6.803750038,-2.112339973,1.132400036,7.241183281,0.020792514
1,-47.360702515,-8.948521614,-1.342941284,-9.446991920,-1.784952641,-0.267875165,0.005877733,9.452179909,1.763279200,0.268018007,9.044589996,1.664780021,14.676360130,0.494519114
3,-2.672892809,-5.398231030,26.131696701,-0.533159256,-1.076779723,5.212463379,5.477246284,0.531149864,1.076724291,5.427149773,0.534898996,1.079660058,7.429862499,0.050322313
6,14.553693771,-3.746887684,12.961065292,2.903010845,-0.747387946,2.585330725,2.846959114,-2.901354313,0.734541595,2.799580097,-2.919029951,0.751446009,2.844268084,0.053319402
7,-15.753842354,-7.192585945,7.799747944,-3.142403126,-1.434697986,1.555807948,1.822567582,3.145235538,1.419165373,1.772799969,3.146080017,1.434710026,6.719926834,0.052145611
14,4.729357243,-3.737366199,6.923832417,0.943360150,-0.745488703,1.381089926,1.645392656,-0.940073192,0.727893949,1.588600039,-0.948482990,0.749549985,0.925410151,0.061360493
15,-33.277862549,-8.494998932,23.747331619,-6.637901783,-1.694489002,4.736856461,5.007155418,6.636339188,1.694235444,4.956059933,6.664770126,1.701509953,14.611997604,0.058923557
16,42.895484924,-3.070106506,38.182434082,8.556319237,-0.612391055,7.616211891,7.870734215,-8.561432838,0.620183527,7.778969765,-8.460109711,0.598828018,10.556261063,0.138358772
17,-1.066286325,-9.410150528,14.084450722,-0.212691069,-1.877033353,2.809411287,3.070219755,0.213690683,1.866158247,3.022639990,0.213719994,1.885859966,3.961257935,0.051497500
20,-18.216278076,-3.007805347,40.686756134,-3.633582830,-0.599963903,8.115746498,8.386821747,3.627783537,0.613832414,8.418290138,3.695130110,0.612520993,14.832190514,0.074347429
21,-16.662940979,-4.226084232,8.277872086,-3.323740244,-0.842972815,1.651178837,1.920820713,3.326626301,0.827928424,1.864230037,3.331130028,0.844888985,6.707329750,0.059249040
22,-45.060333252,-6.006636620,48.295242310,-8.988139153,-1.198137760,9.633403778,9.909043312,8.980092049,1.220455408,9.172739983,8.378609657,1.059489965,22.249576569,0.964278758
31,-7.262343407,-3.258239031,-1.524239540,-1.448612332,-0.649917662,-0.304038525,-0.036053389,1.454210043,0.625568569,0.597985029,1.900910020,0.552332997,3.380629539,0.779043674
35,23.884227753,-2.984847784,22.673171997,4.764163017,-0.595384598,4.522594929,4.782360077,-4.765082359,0.590586483,4.748149872,-4.791100025,0.598635972,5.744714260,0.043727010
36,-14.247535706,-0.369416296,10.828168869,-2.841941595,-0.073687099,2.159883976,2.432296991,2.844377041,0.060765572,2.368940115,2.853849888,0.074059501,6.330436230,0.065425970
37,-19.917591095,-1.341041684,10.918572426,-3.972941875,-0.267496258,2.177916765,2.450996876,3.975291729,0.255010337,2.379169941,4.006020069,0.271324009,7.889699459,0.079808995
38,18.626111984,-7.679714203,14.291562080,3.715332031,-1.531864882,2.850723505,3.107752562,-3.714277267,1.519937038,3.066099882,-3.735409975,1.540060043,2.644797087,0.050857373
39,-24.298376083,-8.828894615,3.369280815,-4.846772671,-1.761090755,0.672067046,0.939688742,4.850699425,1.742154121,0.947942019,4.779190063,1.729940057,8.801879883,0.073012933
