landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z
0,10.475982666,-5.613620758,32.779846191,2.089633703,-1.119743347,6.538563251
1,-47.360702515,-8.948521614,-1.342941284,-9.446991920,-1.784952641,-0.267875165
3,-2.672892809,-5.398231030,26.131696701,-0.533159256,-1.076779723,5.212463379
6,14.553693771,-3.746887684,12.961065292,2.903010845,-0.747387946,2.585330725
7,-15.753842354,-7.192585945,7.799747944,-3.142403126,-1.434697986,1.555807948
14,4.729357243,-3.737366199,6.923832417,0.943360150,-0.745488703,1.381089926
15,-33.277862549,-8.494998932,23.747331619,-6.637901783,-1.694489002,4.736856461
16,42.895484924,-3.070106506,38.182434082,8.556319237,-0.612391055,7.616211891
17,-1.066286325,-9.410150528,14.084450722,-0.212691069,-1.877033353,2.809411287
20,-18.216278076,-3.007805347,40.686756134,-3.633582830,-0.599963903,8.115746498
21,-16.662940979,-4.226084232,8.277872086,-3.323740244,-0.842972815,1.651178837
22,-45.060333252,-6.006636620,48.295242310,-8.988139153,-1.198137760,9.633403778
31,-7.262343407,-3.258239031,-1.524239540,-1.448612332,-0.649917662,-0.304038525
35,23.884227753,-2.984847784,22.673171997,4.764163017,-0.595384598,4.522594929
36,-14.247535706,-0.369416296,10.828168869,-2.841941595,-0.073687099,2.159883976
37,-19.917591095,-1.341041684,10.918572426,-3.972941875,-0.267496258,2.177916765
38,18.626111984,-7.679714203,14.291562080,3.715332031,-1.531864882,2.850723505
39,-24.298376083,-8.828894615,3.369280815,-4.846772671,-1.761090755,0.672067046
40,-50.101165771,-8.701528549,14.533026695,-9.993629456,-1.735685229,2.898888350
42,-1.811711550,-6.640874863,19.058460236,-0.361380279,-1.324648619,3.801572084
44,-9.715229988,-5.540631771,13.059432030,-1.937887192,-1.105184317,2.604951859
45,16.587364197,-0.733131945,25.615339279,3.308665037,-0.146237090,5.109466076
46,23.591526031,-5.126821995,38.768348694,4.705778122,-1.022642016,7.733083725
49,-13.880683899,-9.300223351,28.485153198,-2.768766165,-1.855106235,5.681904793
50,-12.343122482,-4.385990143,35.625350952,-2.462070227,-0.874869049,7.106153011
53,-19.949550629,-3.442239761,15.156946182,-3.979316950,-0.686620116,3.023340940
54,20.145931244,-6.169219971,24.175102234,4.018488884,-1.230568171,4.822183609
56,27.396121979,-4.703428268,21.875761032,5.464676857,-0.938188136,4.363536358
57,5.647768974,-4.604588509,13.469663620,1.126554847,-0.918472648,2.686780453
59,15.554298401,-2.792605162,22.602416992,3.102600336,-0.557038188,4.508481503
61,-27.714090347,-9.846815109,24.695554733,-5.528101921,-1.964134336,4.925997734
62,40.326747894,-4.918652534,29.853061676,8.043935776,-0.981118679,5.954760551
63,-15.651393890,-3.523559093,-7.650748253,-3.121967793,-0.702840805,-1.526087046
64,-2.885758400,-3.749954224,15.818667412,-0.575619340,-0.747999609,3.155333757
68,-5.680023193,-0.141659468,-13.344680786,-1.132988572,-0.028256673,-2.661850214
69,31.505004883,-3.325134754,22.465301514,6.284271717,-0.663261294,4.481131077
71,-27.338081360,-9.428957939,30.301364899,-5.453099728,-1.880784869,6.044182777
75,-15.047616959,-3.748948574,29.856868744,-3.001533031,-0.747799039,5.955519676
76,-33.235511780,-7.955613613,-4.780220032,-6.629454136,-1.586898327,-0.953505695
77,-21.677398682,-0.794557154,13.017618179,-4.323968887,-0.158489525,2.596611261
78,7.409937859,-3.163621664,0.327890873,1.478052855,-0.631044447,0.065404065
79,-18.347095490,-5.733124733,34.425357819,-3.659676790,-1.143580675,6.866791725
80,9.114675522,-0.997261465,-18.984836578,1.818095207,-0.198922753,-3.786886454
82,-17.254312515,-8.572046280,29.316337585,-3.441700459,-1.709857464,5.847700596
83,-46.701934814,-9.533216476,44.459312439,-9.315587997,-1.901581168,8.868254662
84,14.905130386,-7.418788910,21.119537354,2.973111391,-1.479818463,4.212693214
87,-4.621961594,-0.787525713,35.370101929,-0.921938062,-0.157086968,7.055238724
88,-10.846735001,-0.376260608,-17.147228241,-2.163587332,-0.075052328,-3.420340538
89,-22.364810944,-0.710579157,16.507858276,-4.461086273,-0.141738519,3.292805910
91,26.267696381,-1.652241468,33.200222015,5.239591122,-0.329570949,6.622415066
92,6.377962112,-4.401651382,-8.237267494,1.272205710,-0.877992988,-1.643079519
94,7.220355511,-5.631539822,41.081970215,1.440237045,-1.123317599,8.194579124
96,-28.797811508,-4.418132782,42.944099426,-5.744270802,-0.881280541,8.566016197
99,17.110347748,-9.652589798,35.259071350,3.412983894,-1.925392389,7.033091545
103,-30.895961761,-2.253562450,4.319955826,-6.162786484,-0.449515849,0.861697257
106,-26.840887070,-0.535108566,18.147792816,-5.353924751,-0.106737569,3.619922161
109,-0.703514099,-1.160026789,0.890861034,-0.140329257,-0.231389388,0.177699164
110,-4.480595112,-6.492145538,8.680076599,-0.893739820,-1.294981837,1.731406212
111,-5.730381012,-1.061383247,-8.877635002,-1.143033385,-0.211713061,-1.770812988
112,2.815404892,-0.566245317,49.337966919,0.561586022,-0.112948388,9.841395378
113,-10.327347755,-2.974111795,11.354932785,-2.059985638,-0.593243122,2.264957190
115,-6.099643230,-7.942919254,24.268289566,-1.216689706,-1.584366202,4.840771675
119,12.301858902,-2.599884510,11.526858330,2.453839540,-0.518596351,2.299250841
120,-10.928140640,-6.695041656,24.960098267,-2.179825306,-1.335453272,4.978765965
123,6.857147217,-9.537619591,2.003613949,1.367788315,-1.902459502,0.399658859
130,-34.564300537,-8.037004471,23.229434967,-6.894506454,-1.603133202,4.633552074
132,-8.775655746,-4.087485790,9.188926697,-1.750471234,-0.815326691,1.832906008
133,-41.066967010,-7.693135262,48.663997650,-8.191586494,-1.534541965,9.706958771
134,-21.115461349,-7.705013275,21.834785461,-4.211879730,-1.536911249,4.355362892
135,-38.656631470,-4.696184158,30.504159927,-7.710799694,-0.936743140,6.084634304
136,-39.458644867,-7.642639160,31.334949493,-7.870776653,-1.524469614,6.250350952
138,20.679862976,-0.759014249,11.685379028,4.124991417,-0.151399806,2.330870867
140,-19.052398682,-6.218810081,25.189594269,-3.800362825,-1.240459800,5.024543285
141,40.493251801,-9.086039543,26.182094574,8.077148438,-1.812383175,5.222516060
145,-48.464805603,-0.237749517,-4.879076958,-9.667225838,-0.047423657,-0.973224580
148,-10.724828720,-9.010276794,10.479387283,-2.139270782,-1.797270894,2.090312958
152,27.503856659,-9.755041122,23.539379120,5.486166954,-1.945828319,4.695376396
156,-9.412814140,-4.578928947,3.952266693,-1.877564669,-0.913354397,0.788354695
157,-31.553382874,-0.313020557,20.692670822,-6.293921947,-0.062437899,4.127546310
158,-16.730880737,-7.802319527,13.986592293,-3.337291956,-1.556320906,2.789891481
159,-5.617007256,-3.340607405,6.509906292,-1.120418787,-0.666347623,1.298524499
160,-42.421375275,-8.459178925,-14.978690147,-8.461749077,-1.687343955,-2.987784386
161,-27.005176544,-8.390296936,23.277051926,-5.386695385,-1.673604131,4.643050194
162,-1.679664373,-7.892948151,42.648929596,-0.335040987,-1.574398518,8.507139206
165,-2.601087570,-4.639080524,4.838129520,-0.518836319,-0.925352752,0.965056837
166,-2.514210701,-4.271432400,-11.179090500,-0.501507103,-0.852018356,-2.229882002
169,-6.396205902,-4.125351906,11.932271957,-1.275844812,-0.822879791,2.380118370
170,-16.975795746,-0.346079767,23.980110168,-3.386145115,-0.069032185,4.783288479
173,-38.137489319,-7.937383175,0.498768806,-7.607246876,-1.583261847,0.099488914
174,15.060762405,-5.395123959,26.936367035,3.004155159,-1.076159954,5.372970104
175,-7.251168251,-7.280087471,-3.089142799,-1.446383238,-1.452151775,-0.616188228
176,-6.840541840,-3.133263588,2.582706451,-1.364476085,-0.624988973,0.515169859
177,10.003358841,-5.310681820,37.298862457,1.995360017,-1.059316397,7.439966679
179,-2.209987640,-3.059643269,14.064979553,-0.440824032,-0.610303998,2.805527449
180,-38.540313721,-8.115474701,15.016981125,-7.687597752,-1.618785620,2.995422125
181,-25.769645691,-4.938090324,-8.303198814,-5.140245438,-0.984995961,-1.656230807
184,10.329069138,-2.902678013,5.883966446,2.060329199,-0.578994274,1.173668861
185,2.648676157,-9.026599884,33.990020752,0.528328776,-1.800526857,6.779955387
