seq0,seq1,rotation_trace_error,estimated_translation_norm,groundtruth_translation_norm,translation_ratio_est_over_gt
0,1,0.000000119,0.999999940,0.200425997,4.989372253
1,2,0.000000238,0.999981165,0.200424001,4.989328384
2,3,0.000000179,0.999870837,0.200424016,4.988777637
3,4,0.000000060,0.999450743,0.200424016,4.986681461
4,5,-0.000000119,1.002305627,0.200741947,4.993005276
5,6,-0.000000238,0.997751117,0.200100064,4.986260891
6,7,-0.000000238,0.997372627,0.200089931,4.984622002
7,8,-0.000000596,0.999292016,0.200090051,4.994211197
8,9,-0.000000834,0.997242272,0.200099945,4.983720779
9,10,-0.000000834,0.997248948,0.200089931,4.984003544
10,11,-0.000000536,1.005997419,0.200620174,5.014438152
11,12,-0.000000656,0.998184979,0.200019836,4.990429878
12,13,-0.000000715,0.996097744,0.200030088,4.979739666
13,14,0.000000894,1.005405784,0.200020075,5.026524544
14,15,0.000001967,1.012967706,0.200019836,5.064336300
15,16,0.000007868,0.975772440,0.200020075,4.878372669
16,17,0.070609272,1.009966731,0.200122789,5.046735287
17,18,0.079539776,0.875305176,0.171708748,5.097615719
18,19,0.079015315,0.887589633,0.171703398,5.169319153
19,20,0.078992367,0.904027581,0.171707213,5.264936447
20,21,0.079952598,0.885697305,0.171703592,5.158292294
21,22,0.079468012,0.880551696,0.171702862,5.128345966
22,23,0.078742802,0.884479344,0.171700031,5.151305676
23,24,0.008448660,1.003697276,0.200386479,5.008807182
24,25,-0.000144899,1.000107646,0.200300813,4.993028164
25,26,-0.000145257,1.002731800,0.200301528,5.006111622
26,27,-0.000144720,1.001712918,0.200290442,5.001301765
27,28,-0.000145376,1.002042174,0.200291634,5.002915859
28,29,-0.000145435,1.004143715,0.200300455,5.013187408
29,30,-0.000144362,0.998132110,0.200291634,4.983394146
30,31,-0.000145495,0.992150843,0.200101852,4.958229065
31,32,-0.000142157,1.000973105,0.200727940,4.986715317
32,33,-0.000145137,1.006658912,0.200716972,5.015315533
33,34,-0.000145197,1.006611824,0.200726986,5.014830589
34,35,-0.000288785,0.988640547,0.200716972,4.925545216
35,36,-0.000726640,1.002947927,0.200726748,4.996583462
36,37,-0.001748860,1.021961689,0.200717211,5.091549873
37,38,-0.002472639,1.018945456,0.200727940,5.076251030
38,39,-0.002479732,1.001993299,0.200716972,4.992070675
39,40,-0.004967630,1.077640295,0.200697422,5.369477749
40,41,-0.007464349,1.016915679,0.200069919,5.082801342
41,42,-0.007462144,1.012162209,0.200157166,5.056837082
42,43,-0.007441759,1.033823848,0.200993538,5.143567562
43,44,-0.007465899,0.995056987,0.200994492,4.950667858
44,45,-0.007464528,1.007327676,0.201003075,5.011503696
45,46,-0.007446408,1.051774502,0.200994492,5.232852459
46,47,-0.007452726,0.969603002,0.200993538,4.824050426
47,48,-0.007460892,1.051355600,0.201004028,5.230520248
48,49,-0.007223845,1.026744962,0.200993538,5.108347893
49,50,-0.007457376,0.992337346,0.201004028,4.936903000
50,51,0.004094720,0.914123952,0.200004324,4.570520878
51,52,0.067476034,0.434697419,0.024548925,17.707391739
52,53,0.075416923,0.224313587,0.024560219,9.133208275
53,54,0.072645426,0.260357112,0.024543755,10.607875824
54,55,0.075183690,0.178054109,0.024555877,7.250977516
55,56,0.069256365,0.297689497,0.024541998,12.129798889
56,57,0.010930300,0.972964644,0.200285926,4.857878208
57,58,-0.007458746,1.053025126,0.200391769,5.254832268
58,59,-0.007410705,1.020713568,0.200389862,5.093638897
59,60,-0.007422864,1.020690203,0.200399399,5.093279839
60,61,-0.007412195,1.027758718,0.200389862,5.128796101
61,62,-0.007447243,1.003494978,0.200272560,5.010646343
62,63,-0.007425189,0.951711953,0.200090915,4.756397724
63,64,-0.007371843,0.905938864,0.200100452,4.527420521
64,65,-0.007443011,0.902199149,0.200090438,4.508956909
65,66,-0.007438481,1.063576579,0.200100929,5.315200806
66,67,-0.007095337,0.950121760,0.200090438,4.748461723
67,68,-0.004528761,1.000844836,0.200100929,5.001699924
68,69,-0.007242143,1.027066946,0.200090438,5.133013725
69,70,0.009268880,1.223788261,0.200099975,6.115884304
70,71,0.158072531,1.561729431,0.199693635,7.820627213
71,72,0.099021792,1.863696694,0.161439329,11.544254303
72,73,0.054530263,1.348810673,0.161467895,8.353429794
73,74,0.097444654,0.779547811,0.161456987,4.828207493
74,75,0.069582283,0.948824227,0.161459550,5.876544476
75,76,0.070274115,0.515595496,0.096588328,5.338072300
76,77,0.073182523,0.139815733,0.000000000,nan
77,78,0.075592697,0.130935118,0.000000000,nan
78,79,0.071709931,0.223405987,0.000000000,nan
79,80,0.073893189,0.152032107,0.000000000,nan
80,81,0.073809028,0.166034803,0.000000000,nan
81,82,0.067938387,0.463567853,0.000000000,nan
82,83,0.071651518,0.346450001,0.000000000,nan
83,84,0.078094840,0.180947304,0.000000000,nan
84,85,0.005140066,0.972430587,0.200291991,4.855064869
85,86,-0.007441640,1.058981538,0.200296417,5.287071705
86,87,-0.007457078,1.006379962,0.200403214,5.021775723
87,88,-0.007460177,1.004794240,0.200420380,5.013433456
88,89,-0.007466912,0.999663651,0.200106621,4.995655060
89,90,-0.007469296,1.009715199,0.200329781,5.040265083
90,91,-0.007467031,1.015770316,0.200324059,5.070635796
91,92,-0.007466018,1.029683471,0.200329781,5.139942169
92,93,-0.007466614,1.002304673,0.200338364,5.003058910
93,94,-0.007466495,0.964445055,0.200324059,4.814424515
94,95,-0.007466197,0.997036457,0.200024605,4.984569073
95,96,-0.007470489,1.004203796,0.200590134,5.006247044
96,97,-0.007469594,0.999057829,0.200599670,4.980356216
97,98,-0.007461727,1.013803363,0.200598717,5.053887367
98,99,-0.007470131,0.951076150,0.200594902,4.741277695
99,100,-0.007453799,1.032999396,0.200598717,5.149581432
100,101,-0.007469416,1.029359460,0.200599670,5.131411552
101,102,-0.007467687,1.006722212,0.200589657,5.018814087
102,103,-0.007467330,0.992940664,0.200598240,4.949897289
103,104,-0.007469535,0.916973948,0.200599670,4.571163654
104,105,-0.007462919,1.057742000,0.200590134,5.273150444
105,106,-0.007467687,0.967718780,0.200603962,4.824026108
106,107,-0.007470548,0.992327332,0.200599194,4.946815968
107,108,-0.007472217,1.000866890,0.200590134,4.989611626
108,109,-0.007448733,1.000434279,0.200391874,4.992389679
109,110,-0.007446647,0.963249803,0.200293481,4.809192181
110,111,-0.004504681,1.019440174,0.200168669,5.092905998
111,112,0.072044373,0.834656477,0.161104321,5.180844784
112,113,0.072892368,0.891892195,0.161104828,5.536098480
113,114,0.072541654,0.916091919,0.161110371,5.686113834
114,115,-0.000968277,1.003912687,0.200280815,5.012525558
115,116,-0.007435977,0.972277522,0.200235143,4.855678558
116,117,-0.007467031,1.052304387,0.200078741,5.259451389
117,118,-0.007468045,1.016974330,0.200372934,5.075407505
118,119,-0.007451415,1.061147451,0.200361505,5.296164513
119,120,-0.007372022,0.998282075,0.200372934,4.982120514
