seq,est_x,est_y,est_z,est_scaled_x,est_scaled_y,est_scaled_z,gt_initial_x,gt_initial_y,gt_initial_z,gt_x,gt_y,gt_theta
0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.000709459,-0.000122022,0.999999702,0.000141515,-0.000024340,0.199468940,0.200425997,0.000000000,0.000000000,0.200425997,0.000000000,0.000000000
2,0.000939847,-0.000167001,1.999980927,0.000187470,-0.000033311,0.398934186,0.400849998,0.000000000,0.000000000,0.400849998,0.000000000,0.000000000
3,0.001691629,-0.000340561,2.999851465,0.000337428,-0.000067931,0.598377347,0.601274014,0.000000000,0.000000000,0.601274014,0.000000000,0.000000000
4,0.002330573,-0.001152905,3.999301910,0.000464877,-0.000229969,0.797736764,0.801698029,0.000000000,0.000000000,0.801698029,0.000000000,0.000000000
5,0.002168114,-0.000557372,5.001607895,0.000432472,-0.000111178,0.997665703,1.002439976,0.000000000,0.000000000,1.002439976,0.000000000,0.000000000
6,0.002813798,-0.001140787,5.999358177,0.000561265,-0.000227552,1.196686029,1.202540040,0.000000000,0.000000000,1.202540040,0.000000000,0.000000000
7,0.004245426,-0.002514568,6.996728897,0.000846831,-0.000501578,1.395630479,1.402629972,0.000000000,0.000000000,1.402629972,0.000000000,0.000000000
8,0.006881774,0.000017390,7.996014118,0.001372701,0.000003469,1.594956994,1.602720022,0.000000000,0.000000000,1.602720022,0.000000000,0.000000000
9,0.004322124,0.001372934,8.993251801,0.000862130,0.000273858,1.793874979,1.802819967,0.000000000,0.000000000,1.802819967,0.000000000,0.000000000
10,0.005981018,0.002901335,9.990497589,0.001193028,0.000578726,1.992794514,2.002909899,0.000000000,0.000000000,2.002909899,0.000000000,0.000000000
11,0.006988722,0.006341556,10.996489525,0.001394033,0.001264944,2.193458796,2.203530073,0.000000000,0.000000000,2.203530073,0.000000000,0.000000000
12,0.008757031,0.007142671,11.994672775,0.001746756,0.001424741,2.392565489,2.403549910,0.000000000,0.000000000,2.403549910,0.000000000,0.000000000
13,0.009926667,0.001299373,12.990752220,0.001980062,0.000259185,2.591252327,2.603579998,0.000000000,0.000000000,2.603579998,0.000000000,0.000000000
14,0.027933998,0.017945033,13.995859146,0.005571967,0.003579478,2.791739941,2.803600073,0.000000000,0.000000000,2.803600073,0.000000000,0.000000000
15,0.056430366,0.033985719,15.008298874,0.011256109,0.006779097,2.993690252,3.003619909,0.000000000,0.000000000,3.003619909,0.000000000,0.000000000
16,0.017912101,-0.004628422,15.982545853,0.003572909,-0.000923227,3.188022375,3.203639984,0.000000000,0.000000000,3.203639984,0.000000000,0.000000000
17,-0.232698917,-0.007961974,16.960920334,-0.046416219,-0.001588167,3.383177757,3.403189898,0.015131600,0.000000000,3.403189898,0.015131600,0.188353002
18,-0.655188560,-0.004121921,17.727502823,-0.130689800,-0.000822196,3.536087275,3.567830086,0.063891597,0.000000000,3.567830086,0.063891597,0.388422996
19,-1.246450901,0.016072884,18.389175415,-0.248628318,0.003206042,3.668070316,3.719490051,0.144398004,0.000000000,3.719490051,0.144398004,0.588490009
20,-1.968162537,0.018914811,18.933586121,-0.392587423,0.003772919,3.776663542,3.852129936,0.253439009,0.000000000,3.852129936,0.253439009,0.788559020
21,-2.754248619,0.009388522,19.341539383,-0.549387217,0.001872719,3.858037472,3.960449934,0.386664003,0.000000000,3.960449934,0.386664003,0.988627970
22,-3.605246067,0.009861860,19.567674637,-0.719134808,0.001967135,3.903144598,4.040130138,0.538758993,0.000000000,4.040130138,0.538758993,1.188699961
23,-4.489051819,0.012468177,19.600593567,-0.895426691,0.002487015,3.909710884,4.087989807,0.703653991,0.000000000,4.087989807,0.703653991,1.388769984
24,-5.491133690,0.005381336,19.655929565,-1.095310926,0.001073410,3.920748711,4.113100052,0.902460992,0.000000000,4.113100052,0.902460992,1.454560041
