seq,camera_x,camera_y,camera_z,scaled_camera_x,scaled_camera_y,scaled_camera_z,qx,qy,qz,qw,t_wc_x,t_wc_y,t_wc_z
0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1,0.000709459,-0.000122022,0.999999702,0.000141515,-0.000024340,0.199468940,-0.000002267,0.000002698,-0.000025289,1.000000000,-0.000704073,0.000126520,-0.999999762
2,0.000939847,-0.000167001,1.999980927,0.000187470,-0.000033311,0.398934186,-0.000003994,0.000012283,-0.000023410,1.000000000,-0.000890729,0.000182934,-1.999981165
3,0.001691629,-0.000340561,2.999851465,0.000337428,-0.000067931,0.598377347,-0.000012133,0.000019108,-0.000037378,1.000000000,-0.001577025,0.000413231,-2.999851704
4,0.002330573,-0.001152905,3.999301910,0.000464877,-0.000229969,0.797736764,-0.000042587,0.000027179,-0.000048501,1.000000000,-0.002113323,0.001493326,-3.999301910
5,0.002168114,-0.000557372,5.001607895,0.000432472,-0.000111178,0.997665703,-0.000009994,0.000049732,-0.000058366,1.000000000,-0.001670723,0.000657118,-5.001607895
6,0.002813798,-0.001140787,5.999358177,0.000561265,-0.000227552,1.196686029,-0.000040036,0.000064694,-0.000079562,1.000000000,-0.002037794,0.001620780,-5.999358654
7,0.004245426,-0.002514568,6.996728897,0.000846831,-0.000501578,1.395630479,-0.000093916,0.000078322,-0.000108530,1.000000000,-0.003150145,0.003827979,-6.996728420
8,0.006881774,0.000017390,7.996014118,0.001372701,0.000003469,1.594956994,-0.000015666,0.000080130,-0.000127704,1.000000000,-0.005600438,0.000231539,-7.996015072
9,0.004322124,0.001372934,8.993251801,0.000862130,0.000273858,1.793874979,0.000018582,0.000129870,-0.000129391,1.000000000,-0.001985913,-0.001707991,-8.993253708
10,0.005981018,0.002901335,9.990497589,0.001193028,0.000578726,1.992794514,0.000050336,0.000160804,-0.000204560,1.000000000,-0.002766708,-0.003908897,-9.990499496
11,0.006988722,0.006341556,10.996489525,0.001394033,0.001264944,2.193458796,0.000209505,0.000185612,-0.000213377,0.999999940,-0.002902983,-0.010951327,-10.996488571
12,0.008757031,0.007142671,11.994672775,0.001746756,0.001424741,2.392565489,0.000261179,0.000222716,-0.000265006,0.999999940,-0.003408888,-0.013411423,-11.994670868
13,0.009926667,0.001299373,12.990752220,0.001980062,0.000259185,2.591252327,0.000049075,0.000268482,-0.000280920,0.999999940,-0.002950151,-0.002578049,-12.990756989
14,0.027933998,0.017945033,13.995859146,0.005571967,0.003579478,2.791739941,0.000645075,0.000059962,-0.000382274,0.999999762,-0.026235074,-0.036022514,-13.995827675
15,0.056430366,0.033985719,15.008298874,0.011256109,0.006779097,2.993690252,0.001405883,-0.000225946,-0.000638118,0.999998868,-0.063142240,-0.076261654,-15.008117676
16,0.017912101,-0.004628422,15.982545853,0.003572909,-0.000923227,3.188022375,-0.000035441,0.000361311,-0.000399147,0.999999881,-0.006367367,0.005751563,-15.982557297
17,-0.232698917,-0.007961974,16.960920334,-0.046416219,-0.001588167,3.383177757,-0.000111660,-0.093723573,-0.000590274,0.995598137,-2.936681032,0.010134686,-16.706371307
18,-0.655188560,-0.004121921,17.727502823,-0.130689800,-0.000822196,3.536087275,-0.000038305,-0.192770064,-0.000671599,0.981243730,-6.099970818,0.001737446,-16.657859802
19,-1.246450901,0.016072884,18.389175415,-0.248628318,0.003206042,3.668070316,0.000440341,-0.289561272,-0.000345887,0.957159340,-9.155847549,-0.034750696,-15.996421814
20,-1.968162537,0.018914811,18.933586121,-0.392587423,0.003772919,3.776663542,0.000381802,-0.383778661,0.000191382,0.923425019,-12.031345367,-0.030757222,-14.751313210
21,-2.754248619,0.009388522,19.341539383,-0.549387217,0.001872719,3.858037472,0.000208988,-0.474726081,0.000038660,0.880133688,-14.649638176,-0.016529039,-12.925568581
22,-3.605246067,0.009861860,19.567674637,-0.719134808,0.001967135,3.903144598,0.000256101,-0.560409546,-0.000003202,0.828215599,-16.823059082,-0.019251907,-10.624369621
23,-4.489051819,0.012468177,19.600593567,-0.895426691,0.002487015,3.909710884,0.000185640,-0.639976382,0.000159703,0.768394470,-18.465116501,-0.016225444,-7.960953712
24,-5.491133690,0.005381336,19.655929565,-1.095310926,0.001073410,3.920748711,-0.000067772,-0.664796174,0.000030841,0.747024894,-18.885257721,-0.002346242,-7.736872196
25,-6.485074043,0.005679412,19.766296387,-1.293571234,0.001132867,3.942763329,-0.000079893,-0.664648771,0.000010246,0.747155905,-18.876045227,-0.002464069,-8.744293213
