seq,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta
0,0.000000000,0.000000000,0.000000000,0.001601590,0.000000000,-0.000259093
1,0.200425997,0.000000000,0.000000000,0.200147003,0.001775710,0.018433999
2,0.400849998,0.000000000,0.000000000,0.404334992,0.006590560,0.023066601
3,0.601274014,0.000000000,0.000000000,0.612285018,0.007276190,-0.003216060
4,0.801698029,0.000000000,0.000000000,0.798097014,0.003761010,-0.035631601
5,1.002439976,0.000000000,0.000000000,0.996043026,-0.001860330,-0.026491400
6,1.202540040,0.000000000,0.000000000,1.194740057,-0.008183240,-0.029734200
7,1.402629972,0.000000000,0.000000000,1.384510040,-0.013578700,-0.025399400
8,1.602720022,0.000000000,0.000000000,1.588729978,-0.019627500,-0.032111499
9,1.802819967,0.000000000,0.000000000,1.797870040,-0.023144601,-0.010861500
10,2.002909899,0.000000000,0.000000000,2.003999949,-0.027623100,-0.030983400
11,2.203530073,0.000000000,0.000000000,2.216550112,-0.035153400,-0.042618901
12,2.403549910,0.000000000,0.000000000,2.415009975,-0.041429300,-0.021171900
13,2.603579998,0.000000000,0.000000000,2.635299921,-0.045666501,-0.010166200
14,2.803600073,0.000000000,0.000000000,2.835949898,-0.048019901,-0.006767760
15,3.003619909,0.000000000,0.000000000,3.009589911,-0.048914701,0.004632680
16,3.203639984,0.000000000,0.000000000,3.200720072,-0.049337599,-0.010658600
17,3.403189898,0.015131600,0.188353002,3.396480083,-0.038165901,0.154862002
18,3.567830086,0.063891597,0.388422996,3.580499887,0.011189300,0.359331995
19,3.719490051,0.144398004,0.588490009,3.733819962,0.086531602,0.550893009
20,3.852129936,0.253439009,0.788559020,3.875289917,0.192390993,0.744261026
21,3.960449934,0.386664003,0.988627970,3.993119955,0.325085014,0.942260027
22,4.040130138,0.538758993,1.188699961,4.086299896,0.483630002,1.135800004
23,4.087989807,0.703653991,1.388769984,4.137529850,0.634738982,1.343350053
24,4.113100052,0.902460992,1.454560041,4.176089764,0.840068996,1.372619987
25,4.136330128,1.101410031,1.454560041,4.215700150,1.043069959,1.375419974
26,4.159560204,1.300359964,1.454560041,4.248600006,1.207679987,1.367059946
27,4.182779789,1.499300003,1.454560041,4.289209843,1.391289949,1.342759967
28,4.206009865,1.698240042,1.454560041,4.330689907,1.569839954,1.340829968
29,4.229229927,1.897189975,1.454560041,4.377719879,1.771149993,1.346050024
30,4.252460003,2.096129894,1.454560041,4.424590111,1.986960053,1.374959946
31,4.275680065,2.294879913,1.454560041,4.460090160,2.183320045,1.398259997
32,4.298989773,2.494250059,1.454560041,4.492080212,2.376539946,1.418099999
33,4.322289944,2.693609953,1.454560041,4.524849892,2.581850052,1.422819972
34,4.345590115,2.892980099,1.454560041,4.558020115,2.780400038,1.394410014
35,4.368889809,3.092339993,1.454560041,4.592720032,2.953180075,1.355080009
36,4.392189980,3.291709900,1.454560041,4.640620232,3.171950102,1.361879945
37,4.415490150,3.491070032,1.454560041,4.684840202,3.365979910,1.335710049
38,4.438799858,3.690439939,1.454560041,4.741380215,3.591639996,1.315089941
39,4.462100029,3.889800072,1.454560041,4.792709827,3.785099983,1.309039950
40,4.485400200,4.089139938,1.454560041,4.843259811,3.972779989,1.305789948
41,4.508520126,4.287869930,1.454560041,4.883619785,4.130620003,1.318300009
42,4.531700134,4.486680031,1.454560041,4.929649830,4.318640232,1.336220026
43,4.554989815,4.686319828,1.454560041,4.975120068,4.512350082,1.342569947
44,4.578279972,4.885960102,1.454560041,5.015250206,4.692619801,1.361610055
45,4.601570129,5.085609913,1.454560041,5.056980133,4.870059967,1.330719948
46,4.624859810,5.285250187,1.454560041,5.111489773,5.076529980,1.311200023
47,4.648149967,5.484889984,1.454560041,5.164440155,5.283170223,1.323799968
48,4.671440125,5.684539795,1.454560041,5.214799881,5.485849857,1.318099976
49,4.694729805,5.884180069,1.454560041,5.268750191,5.684460163,1.294810057
50,4.718019962,6.083829880,1.454560041,5.321650028,5.879179955,1.305629969
51,4.741509914,6.282450199,1.381559968,5.383019924,6.103610039,1.225860000
52,4.748509884,6.305980206,1.181499958,5.388140202,6.115620136,1.030500054
53,4.760049820,6.327660084,0.981446981,5.389389992,6.119170189,0.819818974
54,4.775660038,6.346600056,0.781385005,5.408180237,6.137569904,0.635636985
55,4.794730186,6.362070084,0.581336021,5.439670086,6.158959866,0.433369994
56,4.816480160,6.373439789,0.381282002,5.473869801,6.172170162,0.256554991
57,5.008540154,6.430250168,0.284411013,5.715569973,6.217959881,0.210951000
58,5.200870037,6.486519814,0.284411013,5.911019802,6.255690098,0.189807996
59,5.393199921,6.542779922,0.284411013,6.073200226,6.286240101,0.174533993
60,5.585539818,6.599040031,0.284411013,6.288229942,6.323190212,0.180435002
61,5.777870178,6.655300140,0.284411013,6.480679989,6.359690189,0.195323005
62,5.970089912,6.711520195,0.284411013,6.662089825,6.397039890,0.213404998
63,6.162169933,6.767570019,0.284411013,6.876639843,6.441349983,0.183387995
64,6.354259968,6.823619843,0.284411013,7.091149807,6.481510162,0.187618002
65,6.546339989,6.879670143,0.284411013,7.236120224,6.509779930,0.183342993
66,6.738430023,6.935719967,0.284411013,7.415959835,6.543930054,0.198080003
67,6.930510044,6.991769791,0.284411013,7.624629974,6.587440014,0.201694995
68,7.122600079,7.047820091,0.284411013,7.820330143,6.629769802,0.220985994
69,7.314680099,7.103869915,0.284411013,8.024209976,6.674970150,0.226249993
70,7.506770134,7.159920216,0.284411013,8.229009628,6.721950054,0.207830995
71,7.702340126,7.200290203,0.084242500,8.408749580,6.747690201,0.039254799
72,7.863759995,7.197750092,-0.115925997,8.606300354,6.736239910,-0.166461006
73,8.021479607,7.163159847,-0.316094011,8.791540146,6.692210197,-0.317227989
74,8.169159889,7.097899914,-0.516261995,8.973440170,6.600450039,-0.570273995
75,8.300919533,7.004580021,-0.716430008,9.046099663,6.545229912,-0.751352012
76,8.369850159,6.936920166,-0.916431010,9.115850449,6.471310139,-0.960385978
77,8.369850159,6.936920166,-1.116520047,9.110839844,6.481150150,-1.170420051
78,8.369850159,6.936920166,-1.316609979,9.110110283,6.479599953,-1.357419968
79,8.369850159,6.936920166,-1.516690016,9.111080170,6.468299866,-1.558369994
80,8.369850159,6.936920166,-1.716779947,9.111639977,6.467770100,-1.747079968
81,8.369850159,6.936920166,-1.916869998,9.114660263,6.477149963,-1.931259990
82,8.369850159,6.936920166,-2.116950035,9.120579720,6.489290237,-2.113850117
83,8.369850159,6.936920166,-2.317039967,9.105930328,6.470349789,-2.279119968
84,8.369850159,6.936920166,-2.517129898,9.102580070,6.466810226,-2.469140053
85,8.198760033,6.832779884,-2.595040083,8.927809715,6.349639893,-2.548870087
86,8.027669907,6.728630066,-2.595040083,8.771289825,6.248020172,-2.572410107
87,7.856450081,6.624489784,-2.595040083,8.608949661,6.143610001,-2.563839912
